Year,National,"North Atlantic",Mid-Atlantic,"National Capital",Southeast,Midwest,Southwest,"Rocky Mountain",Western,"Pacific Northwest & Alaska"
1986,"Statue of Liberty","Cape Cod National Seashore","Colonial National Historical Park","Vietnam Veterans Memorial","Blue Ridge Parkway","Jefferson National Expansion Memorial","Big Bend National Park","Mount Rushmore National Memorial","Yosemite National Park","Mount Rainier National Park"
1987,"Independence National Historical Park/Independence Hall","Acadia National Park","Hopewell Furnace National Historic Site","Constitution Gardens","Vicksburg National Military Park","Lincoln Home National Historic Site","White Sands National Park","Devils Tower National Monument","Hawaii Volcanoes National Park","Denali National Park and Preserve"
1988,"The five winners of the Arts for the Parks contest: Cape Hatteras National Seashore, Yellowstone National Park, Lincoln Memorial, Canyon de Chelly National Monument, Glacier National Park","Salem Maritime National Historic Site","Gettysburg National Military Park","The White House","Natchez Trace Parkway","Pictured Rocks National Lakeshore","San Antonio Missions National Historical Park","Bryce Canyon National Park","Grand Canyon National Park","Olympic National Park"
1989,"Yellowstone National Park","Federal Hall National Memorial","Assateague Island National Seashore","Thomas Jefferson Memorial","Great Smoky Mountains National Park","Apostle Islands National Lakeshore","Hot Springs National Park","Arches National Park","Great Basin National Park","Crater Lake National Park"
1990,"Sequoia National Park","Ellis Island National Monument","Appomattox Court House National Historical Park","Rock Creek Park","Chickamauga and Chattanooga National Military Park","Sleeping Bear Dunes National Lakeshore","Pecos National Historical Park","Rocky Mountain National Park","Death Valley National Park","Craters of the Moon National Monument"
1991,"Muir Woods National Monument","Lowell National Historical Park","Valley Forge National Historical Park","Washington Monument","Mammoth Cave National Park","Indiana Dunes National Lakeshore","Bandelier National Monument","Fort Union Trading Post National Historic Site","USS Arizona Memorial","Klondike Gold Rush National Historical Park"
1992,"San Juan National Historic Site","Roger Williams National Memorial","Edison National Historic Site","Frederick Douglass National Historic Site","Castillo de San Marcos National Monument","Fort Scott National Historic Site","Salinas Pueblo Missions National Monument","Big Hole National Battlefield","Cabrillo National Monument","Fort Clatsop National Memorial"
1993,"Grand Teton National Park","Boston National Historical Park","Fort McHenry National Monument and Historic Site","Ford's Theatre National Historic Site","Wright Brothers National Memorial","Saint Croix National Scenic Riverway","Arkansas Post National Memorial","Hovenweep National Monument","Redwood National Park","North Cascades National Park"
1994,"Golden Spike National Historic Site","Martin Van Buren National Historic Site","Allegheny Portage Railroad National Historic Site","Vietnam Veterans Memorial","Carl Sandburg Home National Historic Site","Harry S Truman National Historic Site","Lyndon B. Johnson National Historical Park","Florissant Fossil Beds National Monument","Organ Pipe Cactus National Monument","Kenai Fjords National Park"
1995,"Glacier National Park","Saint-Gaudens National Historic Site","Delaware Water Gap National Recreation Area","Lincoln Memorial","Andersonville National Historic Site","Agate Fossil Beds National Monument","Carlsbad Caverns National Park","Rainbow Bridge National Monument","Fort Point National Historic Site","Wrangell-St. Elias National Park and Preserve"
1996,"Mesa Verde National Park","Saugus Iron Works National Historic Site","Shenandoah National Park","Oxon Cove Park and Oxon Hill Farm","Gulf Islands National Seashore","Effigy Mounds National Monument","El Morro National Monument","Little Bighorn Battlefield National Monument","National Park of American Samoa","John Day Fossil Beds National Monument"
1997,"Everglades National Park","General Grant National Memorial","New River Gorge National River","Korean War Veterans Memorial","Dry Tortugas National Park","Scotts Bluff National Monument","Guadalupe Mountains National Park","Zion National Park","Pu'uhonua o Honaunau National Historical Park","Katmai National Park and Preserve"
1998,"Women's Rights National Historical Park","Sagamore Hill National Historic Site","Upper Delaware Scenic and Recreational River","Franklin Delano Roosevelt Memorial","Fort Sumter National Monument","Hopewell Culture National Historical Park","Petroglyph National Monument","Natural Bridges National Monument","Point Reyes National Seashore","Sitka National Historical Park"
1999,"Mount Rainier National Park; Bonus Stamp - Commemorative Issue: U.S. Department of the Interior.","Fire Island National Seashore","Harpers Ferry National Historical Park","Fort Washington Park","Cumberland Island National Seashore","Herbert Hoover National Historic Site","Jean Lafitte National Historical Park and Preserve","Badlands National Park","Joshua Tree National Park","Fort Vancouver National Historic Site"
2000,"Minute Man National Historical Park","Weir Farm National Historic Site","Manassas National Battlefield Park","National Mall","Canaveral National Seashore","Cuyahoga Valley National Park","Chaco Culture National Historical Park","Curecanti National Recreation Area","Channel Islands National Park","Glacier Bay National Park and Preserve"
2001,"Independence National Historical Park - The Liberty Bell","Theodore Roosevelt Inaugural National Historic Site","Petersburg National Battlefield","Kenilworth Park and Aquatic Gardens","Moores Creek National Battlefield","Isle Royale National Park","Fort Smith National Historic Site","Canyonlands National Park","Montezuma Castle National Monument","San Juan Island National Historical Park"
2002,"Glen Canyon National Recreation Area","Saratoga National Historical Park","Fredericksburg and Spotsylvania National Military Park","Theodore Roosevelt Island Park","Stones River National Battlefield","Grand Portage National Monument","Buffalo National River","Great Sand Dunes National Monument and Preserve","Coronado National Memorial","Aniakchak National Monument and Preserve"
2003,"Saguaro National Park","Vanderbilt Mansion National Historic Site","Morristown National Historical Park","Mary McLeod Bethune Council House National Historic Site","Fort Donelson National Battlefield","Voyageurs National Park","Gila Cliff Dwellings National Monument","Wind Cave National Park","Manzanar National Historic Site","City of Rocks National Reserve"
